"","EV","ERV","FWER","FDR","Power"
"carve_gam5_B=5select=0.5",11.214,4.536,0,0.711982227299682,0.752
"split_gam5_B=5select=0.5",11.214,4.536,0,0.711982227299682,0
"carve_gam30_B=5select=0.5",11.214,4.536,0,0.711982227299682,0.732
"split_gam30_B=5select=0.5",11.214,4.536,0,0.711982227299682,0
"carve_gam5_B=5select=0.75",10.642,4.978,0,0.681196790688051,0.762
"split_gam5_B=5select=0.75",10.642,4.978,0,0.681196790688051,0
"carve_gam30_B=5select=0.75",10.642,4.978,0,0.681196790688051,0.766
"split_gam30_B=5select=0.75",10.642,4.978,0,0.681196790688051,0
"carve_gam5_B=5select=0.9",10.622,5,0,0.679810248903525,0.734
"split_gam5_B=5select=0.9",10.622,5,0,0.679810248903525,0
"carve_gam30_B=5select=0.9",10.622,5,0,0.679810248903525,0.734
"split_gam30_B=5select=0.9",10.622,5,0,0.679810248903525,0
"carve_gam5_B=5select=0.95",10.592,5,0.01,0.679213839807611,0.714
"split_gam5_B=5select=0.95",10.592,5,0,0.679213839807611,0
"carve_gam30_B=5select=0.95",10.592,5,0,0.679213839807611,0.652
"split_gam30_B=5select=0.95",10.592,5,0,0.679213839807611,0
"carve_gam5_B=5select=0.99",10.638,5,0.02,0.680113096999094,0.456
"split_gam5_B=5select=0.99",10.638,5,0,0.680113096999094,0
"carve_gam30_B=5select=0.99",10.638,5,0,0.680113096999094,0.34
"split_gam30_B=5select=0.99",10.638,5,0,0.680113096999094,0
"carve_gam5_B=10select=0.5",11.188,4.555,0.01,0.710647199028484,0.75
"split_gam5_B=10select=0.5",11.188,4.555,0,0.710647199028484,0
"carve_gam30_B=10select=0.5",11.188,4.555,0,0.710647199028484,0.748
"split_gam30_B=10select=0.5",11.188,4.555,0,0.710647199028484,0
"carve_gam5_B=10select=0.75",10.68,4.978,0,0.682016523708738,0.734
"split_gam5_B=10select=0.75",10.68,4.978,0,0.682016523708738,0
"carve_gam30_B=10select=0.75",10.68,4.978,0,0.682016523708738,0.76
"split_gam30_B=10select=0.75",10.68,4.978,0,0.682016523708738,0
"carve_gam5_B=10select=0.9",10.633,5,0,0.680107229697475,0.71
"split_gam5_B=10select=0.9",10.633,5,0,0.680107229697475,0
"carve_gam30_B=10select=0.9",10.633,5,0,0.680107229697475,0.73
"split_gam30_B=10select=0.9",10.633,5,0,0.680107229697475,0
"carve_gam5_B=10select=0.95",10.569,5,0.01,0.678756819078835,0.752
"split_gam5_B=10select=0.95",10.569,5,0,0.678756819078835,0
"carve_gam30_B=10select=0.95",10.569,5,0,0.678756819078835,0.682
"split_gam30_B=10select=0.95",10.569,5,0,0.678756819078835,0
"carve_gam5_B=10select=0.99",10.633,5,0.01,0.680076801451897,0.446
"split_gam5_B=10select=0.99",10.633,5,0,0.680076801451897,0
"carve_gam30_B=10select=0.99",10.633,5,0,0.680076801451897,0.34
"split_gam30_B=10select=0.99",10.633,5,0,0.680076801451897,0
"carve_gam5_B=20select=0.5",11.175,4.55,0,0.710641592203734,0.74
"split_gam5_B=20select=0.5",11.175,4.55,0,0.710641592203734,0
"carve_gam30_B=20select=0.5",11.175,4.55,0,0.710641592203734,0.738
"split_gam30_B=20select=0.5",11.175,4.55,0,0.710641592203734,0
"carve_gam5_B=20select=0.75",10.7005,4.9765,0,0.682531441058421,0.726
"split_gam5_B=20select=0.75",10.7005,4.9765,0,0.682531441058421,0
"carve_gam30_B=20select=0.75",10.7005,4.9765,0,0.682531441058421,0.774
"split_gam30_B=20select=0.75",10.7005,4.9765,0,0.682531441058421,0
"carve_gam5_B=20select=0.9",10.633,5,0,0.680135552712331,0.676
"split_gam5_B=20select=0.9",10.633,5,0,0.680135552712331,0
"carve_gam30_B=20select=0.9",10.633,5,0,0.680135552712331,0.74
"split_gam30_B=20select=0.9",10.633,5,0,0.680135552712331,0
"carve_gam5_B=20select=0.95",10.6,5,0,0.679442334098141,0.752
"split_gam5_B=20select=0.95",10.6,5,0,0.679442334098141,0
"carve_gam30_B=20select=0.95",10.6,5,0,0.679442334098141,0.684
"split_gam30_B=20select=0.95",10.6,5,0,0.679442334098141,0
"carve_gam5_B=20select=0.99",10.625,5,0,0.679931079456114,0.384
"split_gam5_B=20select=0.99",10.625,5,0,0.679931079456114,0
"carve_gam30_B=20select=0.99",10.625,5,0,0.679931079456114,0.302
"split_gam30_B=20select=0.99",10.625,5,0,0.679931079456114,0
"carve_gam5_B=50select=0.5",11.1762,4.5532,0,0.710525767022124,0.748
"split_gam5_B=50select=0.5",11.1762,4.5532,0,0.710525767022124,0
"carve_gam30_B=50select=0.5",11.1762,4.5532,0,0.710525767022124,0.748
"split_gam30_B=50select=0.5",11.1762,4.5532,0,0.710525767022124,0
"carve_gam5_B=50select=0.75",10.7102,4.9732,0,0.682892008438159,0.734
"split_gam5_B=50select=0.75",10.7102,4.9732,0,0.682892008438159,0
"carve_gam30_B=50select=0.75",10.7102,4.9732,0,0.682892008438159,0.772
"split_gam30_B=50select=0.75",10.7102,4.9732,0,0.682892008438159,0
"carve_gam5_B=50select=0.9",10.6306,5,0,0.680102312301699,0.69
"split_gam5_B=50select=0.9",10.6306,5,0,0.680102312301699,0
"carve_gam30_B=50select=0.9",10.6306,5,0,0.680102312301699,0.746
"split_gam30_B=50select=0.9",10.6306,5,0,0.680102312301699,0
"carve_gam5_B=50select=0.95",10.6012,5,0,0.679490692408845,0.762
"split_gam5_B=50select=0.95",10.6012,5,0,0.679490692408845,0
"carve_gam30_B=50select=0.95",10.6012,5,0,0.679490692408845,0.658
"split_gam30_B=50select=0.95",10.6012,5,0,0.679490692408845,0
"carve_gam5_B=50select=0.99",10.6288,5,0,0.680023143016766,0.396
"split_gam5_B=50select=0.99",10.6288,5,0,0.680023143016766,0
"carve_gam30_B=50select=0.99",10.6288,5,0,0.680023143016766,0.282
"split_gam30_B=50select=0.99",10.6288,5,0,0.680023143016766,0
