"","EV","ERV","FWER","FDR","Power"
"carve_B=1select=0.5n=100p=200",13.15,2.48,0.04,0.840821428571429,0.102
"split_B=1select=0.5n=100p=200",13.15,2.48,0,0.840821428571429,0.002
"carve_B=1select=0.5n=50p=200",5.98,1.85,0.01,0.763392857142857,0.094
"split_B=1select=0.5n=50p=200",5.98,1.85,0,0.763392857142857,0
"carve_B=1select=0.5n=100p=133",11.3,4.39,0.01,0.719785714285714,0.472
"split_B=1select=0.5n=100p=133",11.3,4.39,0,0.719785714285714,0
"carve_B=1select=0.5n=200p=200",10.68,4.89,0.01,0.685249084249084,0.97
"split_B=1select=0.5n=200p=200",10.68,4.89,0,0.685249084249084,0.464
"carve_B=1select=0.5n=600p=200",27.4,5,0.1,0.84556779207537,0.88
"split_B=1select=0.5n=600p=200",27.4,5,0,0.84556779207537,0.054
"carve_B=1select=0.5n=50p=1000",6.99,0.71,0.04,0.90702380952381,0.018
"split_B=1select=0.5n=50p=1000",6.99,0.71,0,0.90702380952381,0
"carve_B=1select=0.75n=100p=200",11.87,3.59,0.02,0.767370421245421,0.14
"split_B=1select=0.75n=100p=200",11.87,3.59,0.02,0.767370421245421,0.014
"carve_B=1select=0.75n=50p=200",4.92,2.85,0,0.631488095238095,0.106
"split_B=1select=0.75n=50p=200",4.92,2.85,0,0.631488095238095,0
"carve_B=1select=0.75n=100p=133",10.74,4.97,0,0.68305173992674,0.612
"split_B=1select=0.75n=100p=133",10.74,4.97,0,0.68305173992674,0
"carve_B=1select=0.75n=200p=200",10.36,5,0,0.673690476190476,0.99
"split_B=1select=0.75n=200p=200",10.36,5,0,0.673690476190476,0
"carve_B=1select=0.75n=600p=200",26.79,5,0.02,0.842439893666256,0.998
"split_B=1select=0.75n=600p=200",26.79,5,0,0.842439893666256,0
"carve_B=1select=0.75n=50p=1000",6.2,1.36,0,0.819130952380952,0.016
"split_B=1select=0.75n=50p=1000",6.2,1.36,0,0.819130952380952,0
"carve_B=1select=0.9n=100p=200",11.27,4.03,0.03,0.735658424908425,0.118
"split_B=1select=0.9n=100p=200",11.27,4.03,0,0.735658424908425,0
"carve_B=1select=0.9n=50p=200",4.52,3.25,0.04,0.580952380952381,0.102
"split_B=1select=0.9n=50p=200",4.52,3.25,0,0.580952380952381,0
"carve_B=1select=0.9n=100p=133",10.63,4.99,0.01,0.680052655677656,0.594
"split_B=1select=0.9n=100p=133",10.63,4.99,0,0.680052655677656,0
"carve_B=1select=0.9n=200p=200",10.32,5,0.01,0.672561813186813,0.986
"split_B=1select=0.9n=200p=200",10.32,5,0,0.672561813186813,0
"carve_B=1select=0.9n=600p=200",26.77,5,0.05,0.842237836898919,0.95
"split_B=1select=0.9n=600p=200",26.77,5,0,0.842237836898919,0
"carve_B=1select=0.9n=50p=1000",5.73,1.79,0.01,0.761595238095238,0.018
"split_B=1select=0.9n=50p=1000",5.73,1.79,0,0.761595238095238,0
"carve_B=1select=0.95n=100p=200",11.48,4.09,0.03,0.736434065934066,0.082
"split_B=1select=0.95n=100p=200",11.48,4.09,0,0.736434065934066,0
"carve_B=1select=0.95n=50p=200",4.48,3.2,0.02,0.582273809523809,0.12
"split_B=1select=0.95n=50p=200",4.48,3.2,0,0.582273809523809,0
"carve_B=1select=0.95n=100p=133",10.61,5,0.01,0.679196428571429,0.488
"split_B=1select=0.95n=100p=133",10.61,5,0,0.679196428571429,0
"carve_B=1select=0.95n=200p=200",10.32,5,0,0.672472527472528,0.968
"split_B=1select=0.95n=200p=200",10.32,5,0,0.672472527472528,0
"carve_B=1select=0.95n=600p=200",26.76,5,0.06,0.84222711442247,0.776
"split_B=1select=0.95n=600p=200",26.76,5,0,0.84222711442247,0
"carve_B=1select=0.95n=50p=1000",5.49,1.96,0.02,0.735035714285714,0.026
"split_B=1select=0.95n=50p=1000",5.49,1.96,0,0.735035714285714,0
"carve_B=1select=0.99n=100p=200",11.11,4.36,0.03,0.717571886446886,0.05
"split_B=1select=0.99n=100p=200",11.11,4.36,0,0.717571886446886,0
"carve_B=1select=0.99n=50p=200",4.36,3.31,0,0.566142857142857,0.13
"split_B=1select=0.99n=50p=200",4.36,3.31,0,0.566142857142857,0
"carve_B=1select=0.99n=100p=133",10.54,5,0.02,0.677641941391941,0.29
"split_B=1select=0.99n=100p=133",10.54,5,0,0.677641941391941,0
"carve_B=1select=0.99n=200p=200",10.2,5,0,0.66989010989011,0.82
"split_B=1select=0.99n=200p=200",10.2,5,0,0.66989010989011,0
"carve_B=1select=0.99n=600p=200",26.85,5,0.02,0.842812025988472,0.398
"split_B=1select=0.99n=600p=200",26.85,5,0,0.842812025988472,0
"carve_B=1select=0.99n=50p=1000",5.33,2.16,0.01,0.709297619047619,0.014
"split_B=1select=0.99n=50p=1000",5.33,2.16,0,0.709297619047619,0
"carve_gam5_B=5select=0.5n=100p=200",13.04,2.54,0.09,0.836888062924555,0.176
"split_gam5_B=5select=0.5n=100p=200",13.04,2.54,0.02,0.836888062924555,0.014
"carve_gam30_B=5select=0.5n=100p=200",13.04,2.54,0.01,0.836888062924555,0.096
"split_gam30_B=5select=0.5n=100p=200",13.04,2.54,0,0.836888062924555,0
"carve_gam5_B=5select=0.5n=50p=200",5.91,1.924,0.02,0.754436037251827,0.094
"split_gam5_B=5select=0.5n=50p=200",5.91,1.924,0,0.754436037251827,0
"carve_gam30_B=5select=0.5n=50p=200",5.91,1.924,0,0.754436037251827,0.056
"split_gam30_B=5select=0.5n=50p=200",5.91,1.924,0,0.754436037251827,0
"carve_gam5_B=5select=0.5n=100p=133",11.25,4.436,0.02,0.717159995595122,0.576
"split_gam5_B=5select=0.5n=100p=133",11.25,4.436,0,0.717159995595122,0
"carve_gam30_B=5select=0.5n=100p=133",11.25,4.436,0.01,0.717159995595122,0.452
"split_gam30_B=5select=0.5n=100p=133",11.25,4.436,0,0.717159995595122,0
"carve_gam5_B=5select=0.5n=200p=200",10.644,4.902,0.01,0.684580694761855,0.996
"split_gam5_B=5select=0.5n=200p=200",10.644,4.902,0.02,0.684580694761855,0.326
"carve_gam30_B=5select=0.5n=200p=200",10.644,4.902,0,0.684580694761855,0.984
"split_gam30_B=5select=0.5n=200p=200",10.644,4.902,0,0.684580694761855,0.284
"carve_gam5_B=5select=0.5n=600p=200",27.4,4.994,0.14,0.845808378135755,0.988
"split_gam5_B=5select=0.5n=600p=200",27.4,4.994,0,0.845808378135755,0
"carve_gam30_B=5select=0.5n=600p=200",27.4,4.994,0.01,0.845808378135755,0.978
"split_gam30_B=5select=0.5n=600p=200",27.4,4.994,0,0.845808378135755,0
"carve_gam5_B=5select=0.5n=50p=1000",6.922,0.756,0.02,0.901490213089284,0.02
