"","EV","ERV","FWER","FDR","Power"
"carve_B=1select=0.5nActive=5",13.15,2.48,0.04,0.840821428571429,0.102
"split_B=1select=0.5nActive=5",13.15,2.48,0,0.840821428571429,0.002
"carve_B=1select=0.5nActive=2",13.66,1.99,0.01,0.872622252747253,0.96
"split_B=1select=0.5nActive=2",13.66,1.99,0,0.872622252747253,0
"carve_B=1select=0.5nActive=50",8.84,6.75,0.1,0.567618131868132,0.002
"split_B=1select=0.5nActive=50",8.84,6.75,0,0.567618131868132,2e-04
"carve_B=1select=0.5nActive=10",11.07,4.43,0.02,0.714586080586081,0.089
"split_B=1select=0.5nActive=10",11.07,4.43,0.01,0.714586080586081,0.003
"carve_B=1select=0.75nActive=5",11.87,3.59,0.02,0.767370421245421,0.14
"split_B=1select=0.75nActive=5",11.87,3.59,0.02,0.767370421245421,0.014
"carve_B=1select=0.75nActive=2",13.48,2,0.01,0.870354395604396,0.96
"split_B=1select=0.75nActive=2",13.48,2,0,0.870354395604396,0
"carve_B=1select=0.75nActive=50",7.44,7.91,0.07,0.484424117549118,0.0012
"split_B=1select=0.75nActive=50",7.44,7.91,0,0.484424117549118,0
"carve_B=1select=0.75nActive=10",9.15,6.38,0,0.588303571428571,0.082
"split_B=1select=0.75nActive=10",9.15,6.38,0,0.588303571428571,0
"carve_B=1select=0.9nActive=5",11.27,4.03,0.03,0.735658424908425,0.118
"split_B=1select=0.9nActive=5",11.27,4.03,0,0.735658424908425,0
"carve_B=1select=0.9nActive=2",13.39,2,0.02,0.869590659340659,0.875
"split_B=1select=0.9nActive=2",13.39,2,0,0.869590659340659,0
"carve_B=1select=0.9nActive=50",6.96,8.36,0.1,0.454135073260073,0.002
"split_B=1select=0.9nActive=50",6.96,8.36,0,0.454135073260073,0
"carve_B=1select=0.9nActive=10",8.04,7.45,0.01,0.517873168498168,0.076
"split_B=1select=0.9nActive=10",8.04,7.45,0,0.517873168498168,0
"carve_B=1select=0.95nActive=5",11.48,4.09,0.03,0.736434065934066,0.082
"split_B=1select=0.95nActive=5",11.48,4.09,0,0.736434065934066,0
"carve_B=1select=0.95nActive=2",13.29,2,0.05,0.868626373626374,0.705
"split_B=1select=0.95nActive=2",13.29,2,0,0.868626373626374,0
"carve_B=1select=0.95nActive=50",6.81,8.44,0.05,0.446144688644689,0.002
"split_B=1select=0.95nActive=50",6.81,8.44,0,0.446144688644689,0
"carve_B=1select=0.95nActive=10",7.89,7.55,0.01,0.510251373626374,0.08
"split_B=1select=0.95nActive=10",7.89,7.55,0,0.510251373626374,0
"carve_B=1select=0.99nActive=5",11.11,4.36,0.03,0.717571886446886,0.05
"split_B=1select=0.99nActive=5",11.11,4.36,0,0.717571886446886,0
"carve_B=1select=0.99nActive=2",13.44,2,0.03,0.869988594738595,0.41
"split_B=1select=0.99nActive=2",13.44,2,0,0.869988594738595,0
"carve_B=1select=0.99nActive=50",6.56,8.78,0.05,0.427460164835165,0.0016
"split_B=1select=0.99nActive=50",6.56,8.78,0,0.427460164835165,0
"carve_B=1select=0.99nActive=10",7.73,7.7,0.01,0.500144688644689,0.041
"split_B=1select=0.99nActive=10",7.73,7.7,0,0.500144688644689,0
"carve_gam5_B=5select=0.5nActive=5",13.04,2.54,0.09,0.836888062924555,0.176
"split_gam5_B=5select=0.5nActive=5",13.04,2.54,0.02,0.836888062924555,0.014
"carve_gam30_B=5select=0.5nActive=5",13.04,2.54,0.01,0.836888062924555,0.096
"split_gam30_B=5select=0.5nActive=5",13.04,2.54,0,0.836888062924555,0
"carve_gam5_B=5select=0.5nActive=2",13.698,1.982,0,0.873567980154422,0.985
"split_gam5_B=5select=0.5nActive=2",13.698,1.982,0,0.873567980154422,0
"carve_gam30_B=5select=0.5nActive=2",13.698,1.982,0,0.873567980154422,0.97
"split_gam30_B=5select=0.5nActive=2",13.698,1.982,0,0.873567980154422,0
"carve_gam5_B=5select=0.5nActive=50",8.768,6.784,0.18,0.56363661170802,0.0032
"split_gam5_B=5select=0.5nActive=50",8.768,6.784,0,0.56363661170802,0
"carve_gam30_B=5select=0.5nActive=50",8.768,6.784,0.06,0.56363661170802,0.001
"split_gam30_B=5select=0.5nActive=50",8.768,6.784,0,0.56363661170802,0
"carve_gam5_B=5select=0.5nActive=10",11.092,4.484,0.04,0.712179023663814,0.12
"split_gam5_B=5select=0.5nActive=10",11.092,4.484,0.03,0.712179023663814,0.015
"carve_gam30_B=5select=0.5nActive=10",11.092,4.484,0,0.712179023663814,0.058
"split_gam30_B=5select=0.5nActive=10",11.092,4.484,0,0.712179023663814,0
"carve_gam5_B=5select=0.75nActive=5",11.846,3.522,0.04,0.770773021897559,0.164
"split_gam5_B=5select=0.75nActive=5",11.846,3.522,0.08,0.770773021897559,0.05
